"","x01","y01","x02","y02","x03","y03","x04","y04","x05","y05","x06","y06","x07","y07","x08","y08","x09","y09","x10","y10","x11","y11","x12","y12","x13","y13","x14","y14","x15","y15","x16","y16","x17","y17","x18","y18","x19","y19","x20","y20","x21","y21","x22","y22","C_size","Species","Sex"
"ORTALB001",0.314862037627173,0.0700265826766847,0.0414418802033799,0.0605114737681967,-0.226873077003132,0.0756604247719963,-0.281187345777774,0.0627584313259847,-0.324903973662686,0.0255058672091859,-0.328763230500367,0.0164105446026134,-0.268153444100643,-0.0291689173988042,-0.257500441677783,-0.0331543658645422,-0.0835943487875317,-0.0924746740914733,-0.0685224982755566,-0.0999453349298789,0.0557402509039332,-0.133368809181934,0.175262070815653,-0.147607493028286,0.337286500314649,0.036895279938337,0.189496774289053,0.0110876747617078,0.246545854893253,0.0190683164199852,0.238452065069692,-0.00379070890584383,0.0428169358106541,0.0384646552624151,0.0344100441146231,0.0313006478600785,0.00420690363586505,0.0258759099151672,-0.0028925357769632,0.0154728803947025,0.042883100092319,0.0196543256988445,0.118986477792188,0.0308172887948641,640.472836696026,"albistylum","Male"
"ORTALB002",0.330248983350509,0.0618928690390864,0.0513726655933143,0.0679301144215013,-0.215605164784518,0.0672495225580478,-0.276677922735795,0.0393339432665131,-0.327664290052461,0.0157087951072586,-0.331934029137114,0.00489376611647488,-0.28065680096158,-0.0341319732791665,-0.259759433335185,-0.0444738214436344,-0.0911881820245553,-0.0819648945701008,-0.0792893216019947,-0.0887520316753277,0.0334808357287459,-0.114581332755966,0.1386512440009,-0.133202532454171,0.349809380406652,0.0270684686116914,0.190523782979273,0.00879661652176182,0.249144099082471,0.0147858550060516,0.239545851281716,-0.0147412816036497,0.0539731132176089,0.0481505292169022,0.0424983130338036,0.0401900464478833,0.01087883777892,0.0339433421511111,0.00228616486516071,0.0227531663279771,0.0551471494133169,0.0247727146733403,0.115214723900813,0.034378118316416,517.315140456429,"albistylum","Female"
"ORTALB004",0.33320340941338,0.0581901897308526,0.0559882397071957,0.0435828870772138,-0.211943350105661,0.0423539334391478,-0.278343522378732,0.0338743745771341,-0.332759359326455,0.0123716967089223,-0.33694538984271,0.00132516070516886,-0.286754502510908,-0.0220654535792033,-0.263326546687866,-0.0267914385436653,-0.111691647299302,-0.0550243059664104,-0.0940326484762442,-0.063843029658879,0.0307554039017769,-0.0902497004897685,0.149792630770241,-0.103885582953439,0.349679407313055,0.0350041076822521,0.20213450021386,0.00693594821272613,0.258623344351861,0.0170127504329329,0.247692209027889,-0.00620312015500537,0.0559331519977746,0.026746832025604,0.0446520120128771,0.0246933471569437,0.00899077742123528,0.0193144787785905,0.000409005880519704,0.00783256618406539,0.0522073120741627,0.0112940382570206,0.125735562542049,0.0275303203777955,511.084853300044,"albistylum","Female"
"ORTALB005",0.312563276253445,0.0696302484486807,0.0566526341851172,0.0612767805888633,-0.217764142860221,0.0751881012212446,-0.280748394731314,0.06232852579928,-0.329252565909022,0.0234824410348042,-0.333653401182681,0.0119701514379598,-0.279137575891558,-0.0352657508510756,-0.26576220400398,-0.0417007197675471,-0.0885981268559198,-0.0942827390523309,-0.0809770370361194,-0.0985179138215074,0.0385534310920319,-0.131035504036148,0.155282005924027,-0.138074367403857,0.330671655113233,0.0376283032358221,0.187277222865928,0.0146246711600935,0.244160423690089,0.0218953332479635,0.233323197877596,-0.00298757191765894,0.0576686115061045,0.0397778877952735,0.0475964458915925,0.0324147693678081,0.0219496977635866,0.0257298128038266,0.00976200144001889,0.0145570643540938,0.0586824204240123,0.018277782516662,0.121750424444034,0.0330826938377498,513.672605318354,"albistylum","Female"
"ORTALB006",0.308556384701238,0.0627566140267178,0.0507691477141646,0.0548416370355906,-0.220711806903331,0.0778010243001742,-0.282197359757766,0.0673771805584669,-0.334555849890675,0.0265707486940358,-0.337236026172187,0.0160233538232975,-0.267195815088572,-0.037925209333936,-0.25664660178437,-0.040608165676672,-0.0905766868402305,-0.0940381730331048,-0.0832526269839231,-0.0979214556912337,0.042813896417056,-0.134673663436442,0.179257896704775,-0.132309437890221,0.325653020467262,0.0346042646088723,0.192302395754212,0.017969218314905,0.248207755328155,0.0197056403584076,0.235526484103078,0.00249134110221147,0.0537165049340302,0.0390451497532825,0.0435510715286878,0.0308511225967085,0.0196139205617885,0.024135103535709,0.00638952746280085,0.0162666716046825,0.0515824588637572,0.0191531409821007,0.114432308880051,0.0278838937664456,650.225310600452,"albistylum","Male"
"ORTALB007",0.319730664144981,0.0650072254750047,0.0401437821497152,0.0536896343281441,-0.223253155543743,0.0621514228000983,-0.286699966642691,0.0525303826326004,-0.335926262895992,0.0162548094171654,-0.336911620083094,0.00954650946120742,-0.264179407912956,-0.0245035752116402,-0.258776605648493,-0.0289228009035936,-0.0861328432306742,-0.0711903371064311,-0.0789379631474049,-0.0770798689473944,0.0453120298613216,-0.114245817596582,0.175927575096646,-0.132606103650509,0.337861792641013,0.0321333169243887,0.196260515365124,0.0114350293088903,0.250382740119635,0.0151718239159077,0.24121464552501,-0.0088572040866894,0.043731951276395,0.0342311694829231,0.034573285349956,0.0267145575409269,0.0100481124780415,0.0242684928946689,0.00480591302046229,0.0105387829567495,0.0487889510464006,0.0165676878787371,0.122035867030347,0.0271648624854261,609.16768851218,"albistylum","Male"
"ORTALB008",0.320230910803885,0.0688488492909338,0.0436235213528639,0.0614644745198285,-0.233695988157855,0.0810632462365723,-0.287318659587049,0.0661312476805186,-0.330182667030104,0.0278558624626129,-0.329824496003392,0.01436376992273,-0.264474160880619,-0.0311501051358972,-0.24396838799671,-0.0407275765587234,-0.0806891536409764,-0.0870073014677067,-0.0669280761265991,-0.0967643105746143,0.0623378210764948,-0.133818844068993,0.180671361107383,-0.140787858743652,0.331434249879974,0.0286433805794304,0.190116333246677,0.011368327134663,0.247371048847048,0.0162718220930462,0.2345099491463,-0.00770019522235517,0.0441658987017859,0.0412251738745054,0.0375980858074167,0.034298369254336,-0.00268873424670507,0.026471750573673,-0.0123581712975468,0.00933926956577058,0.0447966940906469,0.0176141974620525,0.115272620907081,0.0329964511212694,296.560127277605,"albistylum","Male"
"ORTALB009",0.324712391584177,0.0782791307932151,0.0352182752413611,0.0660866916811573,-0.227160138556924,0.0795692147474391,-0.281328845055547,0.0667649758783052,-0.322047673670675,0.028249249745753,-0.323575603639908,0.0180274158609687,-0.256134086771338,-0.0334237334586438,-0.24975085178136,-0.0391986265011052,-0.0845366414266775,-0.0980172486595769,-0.0761390262597335,-0.103691903527379,0.0515347073903234,-0.142043004866279,0.170111174475618,-0.160545295875003,0.344809674696569,0.0407239466203105,0.181900739357731,0.0124456014479795,0.246453373380754,0.0196713482712321,0.235603385863089,-0.00722926237492624,0.0404567665720042,0.042005500043991,0.0287163237019843,0.0333155028332674,0.00655098207900544,0.0301915349432504,-0.0048931617012601,0.0154322728327292,0.0476134903454469,0.0200426153751085,0.11188474417536,0.0333440741882068,494.254305172771,"albistylum","Male"
"ORTALB010",0.3104936127618,0.0746268473719193,0.0326556829047362,0.0640197608920913,-0.223623889474874,0.0889817050102862,-0.282746520663442,0.0767842570643445,-0.319061684505789,0.0335137632205125,-0.318901699898376,0.024239290600479,-0.265976601357892,-0.0303713554814008,-0.258472103187021,-0.0339532926974133,-0.0736977196132723,-0.104666605155366,-0.0661400496580739,-0.11194015964174,0.0828463309222616,-0.153685615268457,0.212512040405524,-0.151360632639633,0.335258442774822,0.03616342563241,0.176362181928301,0.0110545355867269,0.24481380313384,0.0160051447452198,0.234134404026008,-0.00827992678240358,0.0312233717122962,0.0417584943266267,0.0276697250349079,0.0324334525574255,-4.34656360007273e-05,0.0282121855938898,-0.016461197072482,0.0149432079952604,0.0334775567309402,0.0195604834371497,0.103677778731787,0.0319610336320727,541.383161238625,"albistylum","Male"
"ORTALB011",0.323741688276532,0.0641699598179195,0.0593363226867663,0.0537020646468117,-0.213572489681681,0.0575076727951069,-0.27993106614777,0.0463122839376282,-0.33109194255148,0.0219571241536214,-0.339353167024951,0.0103237893851928,-0.281184053977165,-0.0310542429499182,-0.265021496454769,-0.0378814975370347,-0.100851696898673,-0.0764173494746187,-0.0892213705727351,-0.0846870814586732,0.0269164030182091,-0.113564791423436,0.159535060051769,-0.119174279714078,0.332438387869114,0.0369544157458753,0.192432374707345,0.00926834722993685,0.247947956912375,0.0199823650451948,0.239804006754081,-0.00458833007992134,0.0584984106153453,0.0344498948282208,0.0512048119960606,0.0291213928526803,0.0141802730425947,0.0262736170079202,0.00767402073516896,0.0122165419120175,0.0600806029107236,0.0169658969117795,0.12643696373314,0.028162206367775,470.984751731557,"albistylum","Female"
